IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
54.255.135.20,4,4,0,124.67,17.2
54.148.167.46,4,4,0,211.02,15.11
54.188.116.102,4,4,0,210.54,14.93
67.226.221.203,4,4,0,185.39,14.65
67.226.221.162,4,4,0,196.15,14.28
54.203.45.68,4,4,0,209.16,14.25
67.226.221.162,4,4,0,185.86,14.25
52.12.162.159,4,4,0,211.88,14.2
44.227.209.152,4,4,0,211.31,14.2
54.202.53.141,4,4,0,211.54,14.18
34.218.130.79,4,4,0,211.04,14.16
52.12.162.159,4,4,0,210.07,14.01
52.43.224.109,4,4,0,209.94,13.99
67.226.221.166,4,4,0,197.45,13.98
34.222.135.204,4,4,0,211.44,13.85
52.10.230.80,4,4,0,211.02,13.81
35.93.31.9,4,4,0,211.52,13.81
54.245.155.49,4,4,0,208.5,13.78
44.224.24.91,4,4,0,211,13.76
35.164.159.45,4,4,0,210.64,13.62
54.148.167.46,4,4,0,210.51,13.6
54.193.48.13,4,4,0,188.38,13.59
52.27.119.140,4,4,0,211.51,13.49
18.236.152.142,4,4,0,210.72,13.48
34.215.169.157,4,4,0,211.28,13.47
34.216.225.25,4,4,0,210.31,13.42
34.214.172.22,4,4,0,210.35,13.4
52.89.100.174,4,4,0,211.89,13.22
67.226.221.243,4,4,0,185.86,13.21
35.92.141.38,4,4,0,211.27,13.21
67.226.221.166,4,4,0,191.62,13.15
54.148.144.164,4,4,0,209.73,13.13
34.217.87.226,4,4,0,211.54,13.11
35.167.93.200,4,4,0,211.37,13.07
67.226.221.167,4,4,0,193.17,12.9
54.193.48.13,4,4,0,186.74,12.45
67.226.221.165,4,4,0,187.77,12.42
34.216.124.126,4,4,0,209.94,12.37
67.226.221.165,4,4,0,190.44,12.09
54.148.144.164,4,4,0,210.07,11.73
34.217.87.226,4,4,0,210.61,11.72
67.226.221.104,4,4,0,192.14,11.63
67.226.221.104,4,4,0,187.27,11.5
67.226.221.14,4,4,0,191.73,11.49
67.226.221.243,4,4,0,186.99,10.68
50.18.25.238,4,4,0,187.51,10.61
34.219.53.148,4,4,0,210.77,10.6
18.237.87.18,4,4,0,210.36,9.76
34.219.18.231,4,4,0,208.66,8.55
54.187.240.31,4,4,0,210.74,5.02
